iter	CrossEntropy
0	0.6872371596
1	0.6819605472
2	0.6764162753
3	0.6709288049
4	0.6657031963
5	0.6604483718
6	0.6553781443
7	0.6503036451
8	0.6453614626
9	0.6407542937
10	0.6363218012
11	0.6316562099
12	0.6271791156
13	0.6227452623
14	0.6184133367
15	0.6144102035
16	0.6104777969
17	0.6065217265
18	0.6025822548
19	0.598870941
20	0.5951311563
21	0.5915579651
22	0.5881238841
23	0.5849191913
24	0.5817064757
25	0.5785846707
26	0.5757244702
27	0.5727987202
28	0.5697640715
29	0.5671091736
30	0.5643237345
31	0.561497898
32	0.5587186471
33	0.5560982835
34	0.553592347
35	0.5510414032
36	0.5486014211
37	0.5462566317
38	0.5439720127
39	0.5416467104
40	0.5394295211
41	0.5373450307
42	0.5351353968
43	0.5330239683
44	0.5309120295
45	0.5288056487
46	0.5270057591
47	0.5250804152
48	0.5232154309
49	0.5213143652
50	0.5196975981
51	0.5180564253
52	0.5163809598
53	0.5149875344
54	0.5135165298
55	0.5119295985
56	0.5103379928
57	0.5088023287
58	0.5073490286
59	0.5058035164
60	0.5044416998
61	0.5029976941
62	0.5016670421
63	0.5003475465
64	0.4990932485
65	0.4978480299
66	0.4966160379
67	0.4953303835
68	0.4941894486
69	0.492973581
70	0.4918340781
71	0.4907103119
72	0.4898280552
73	0.48886255
74	0.48783001
75	0.4868058926
76	0.485798135
77	0.4848591721
78	0.4839446611
79	0.4830990299
80	0.4821498859
81	0.4813130372
82	0.4804115096
83	0.4796508726
84	0.4788285105
85	0.4780250805
86	0.4771679698
87	0.4764294492
88	0.4757318696
89	0.4750385134
90	0.4743038115
91	0.4735783232
92	0.4728201437
93	0.4721561917
94	0.4714510478
95	0.4707961904
96	0.4701083746
97	0.4694961084
98	0.4688390934
99	0.4681951759
100	0.4675652609
101	0.4670307272
102	0.466467963
103	0.4659250476
104	0.465389294
105	0.4648898752
106	0.4643983907
107	0.4638492358
108	0.4633130568
109	0.4628784731
110	0.4623971362
111	0.4619591818
112	0.4614941302
113	0.4611282456
114	0.460672911
115	0.4602338579
116	0.4598411606
117	0.4593838942
118	0.4589438428
119	0.4585002342
120	0.4580912029
121	0.4576610763
122	0.4573229413
123	0.4569318258
124	0.4565661923
125	0.4562086712
126	0.4558435748
127	0.4554863623
128	0.4551716931
129	0.4548201853
130	0.4545271063
131	0.4541977188
132	0.4538730355
133	0.4536027874
134	0.4532605935
135	0.4529836568
136	0.452739201
137	0.452468743
138	0.4521804136
139	0.4519078866
140	0.4516172896
141	0.4513603605
142	0.451071522
143	0.4508869771
144	0.4506346827
145	0.450397022
146	0.4501219949
147	0.4498803353
148	0.4497587796
149	0.4495268754
150	0.4492878839
151	0.4490821858
152	0.4488665801
153	0.4486929087
154	0.448501584
155	0.4482865853
156	0.4480854321
157	0.4478943546
158	0.447714964
159	0.4476171165
160	0.4473994089
161	0.4471894684
162	0.4470242788
163	0.4468598646
164	0.4466725713
165	0.4464843664
166	0.4463201374
167	0.4461517646
168	0.4459686673
169	0.4457766633
170	0.4456213116
171	0.4454566466
172	0.4452749069
173	0.4451448983
174	0.4450117997
175	0.4448639093
176	0.4446979015
177	0.4445906077
178	0.4444233763
179	0.4443348996
180	0.4441785087
181	0.4440224602
182	0.4438599567
183	0.4437146421
184	0.4435573067
185	0.443440155
186	0.4433530284
187	0.4432235125
188	0.4431158489
189	0.4429782599
190	0.442848959
191	0.4427177808
192	0.4426609618
193	0.442540231
194	0.4424249121
195	0.4423245344
196	0.4422423565
197	0.4421137408
198	0.4420185494
199	0.4419249042
200	0.4418553793
201	0.4417447034
202	0.4416382126
203	0.4415615929
204	0.4414545622
205	0.4413546015
206	0.4412512361
207	0.4411343905
208	0.4410457813
209	0.440955168
210	0.4408408327
211	0.4407451967
212	0.4407030096
213	0.4406091025
214	0.4405200987
215	0.4404514375
216	0.4403864044
217	0.4403036133
218	0.4402359937
219	0.4401624429
220	0.4400742924
221	0.4399907312
222	0.4399132969
223	0.4398209607
224	0.4397870663
225	0.4397082641
226	0.4396252332
227	0.4395521316
228	0.4394776913
229	0.4394021514
230	0.4393422675
231	0.4392780578
232	0.4392117855
233	0.4391426855
234	0.4390786632
235	0.4390260562
236	0.4389856526
237	0.4389558932
238	0.4388901895
239	0.438840386
240	0.4387881808
241	0.4387502125
242	0.4386851891
243	0.4386492845
244	0.4385860159
245	0.4385567671
246	0.4385055728
247	0.4384665232
248	0.4383978124
249	0.4383452041
250	0.4382934105
251	0.4382354419
252	0.4381775819
253	0.4381182577
254	0.4380630625
255	0.4379936536
256	0.4379562232
257	0.4379000638
258	0.4378366912
259	0.4377828728
260	0.4377404981
261	0.437698691
262	0.4376357777
263	0.4376067536
264	0.4375592546
265	0.4374897632
266	0.4374463622
267	0.4373784325
268	0.4373465893
269	0.4373018881
270	0.4372483518
271	0.4372149497
272	0.4371600667
273	0.4371072988
274	0.4370492124
275	0.4369995274
276	0.4369413017
277	0.4369081781
278	0.4368621602
279	0.4368165953
280	0.4368048838
281	0.4367632788
282	0.436707887
283	0.4366614636
284	0.4366032769
285	0.4365538211
286	0.4365122469
287	0.4364803954
288	0.4364449664
289	0.4364026771
290	0.4363728103
291	0.436338486
292	0.4363004366
293	0.4362703561
294	0.4362243374
295	0.436190224
296	0.4361598654
297	0.4361301444
298	0.4361169148
299	0.436081711
300	0.4360430035
301	0.4360172692
302	0.4359997048
303	0.435979032
304	0.435951725
305	0.4359137084
306	0.4358782801
307	0.4358398115
308	0.4358080948
309	0.4358009101
310	0.4357617664
311	0.4357257916
312	0.4357015094
313	0.4356664733
314	0.435627795
315	0.4355961547
316	0.4355705511
317	0.4355337752
318	0.4354963873
319	0.4354670427
320	0.4354534438
321	0.4354318913
322	0.4353970345
323	0.4353634289
324	0.4353261501
325	0.4352976965
326	0.4352739153
327	0.4352407317
328	0.4352266373
329	0.4351977112
330	0.4351689057
331	0.4351288545
332	0.4350962654
333	0.4350720493
334	0.4350364684
335	0.4350234475
336	0.4350051224
337	0.4349719667
338	0.4349539893
339	0.4349283526
340	0.4349110428
341	0.4348779549
342	0.4348562419
343	0.4348548168
344	0.4348411487
345	0.4348124108
346	0.4347912077
347	0.4347796525
348	0.4347505426
349	0.4347264496
350	0.4346913379
351	0.4346637622
352	0.434631925
353	0.4345997192
354	0.4345931672
355	0.4345894758
356	0.4345653898
357	0.4345303207
358	0.4345107027
359	0.4345086126
360	0.4344903785
361	0.4344692576
362	0.4344418153
363	0.4344375659
364	0.4344150475
365	0.4343951109
366	0.4343793556
367	0.4343564001
368	0.4343400929
369	0.4343257837
370	0.4342986484
371	0.4342720481
372	0.4342433975
373	0.4342242944
374	0.4341950195
375	0.4341794807
376	0.4341552501
377	0.4341267185
378	0.4340978832
379	0.4340724648
