iter	Passed	Remaining
0	8	8278
1	14	7083
2	20	6831
3	28	7030
4	35	7060
5	42	6960
6	48	6853
7	55	6899
8	62	6845
9	68	6780
10	74	6687
11	80	6658
12	87	6637
13	93	6612
14	100	6628
15	107	6604
16	114	6624
17	121	6603
18	127	6566
19	134	6577
20	140	6556
21	147	6539
22	153	6514
23	159	6483
24	165	6457
25	171	6438
26	178	6428
27	184	6421
28	190	6393
29	196	6354
30	203	6349
31	209	6326
32	215	6310
33	221	6293
34	228	6298
35	235	6295
36	240	6268
37	246	6233
38	252	6212
39	257	6190
40	264	6180
41	270	6173
42	277	6171
43	283	6169
44	290	6164
45	302	6263
46	308	6252
47	314	6245
48	321	6234
49	327	6231
50	334	6223
51	340	6211
52	347	6201
53	353	6185
54	359	6172
55	365	6162
56	372	6159
57	378	6149
58	385	6146
59	391	6139
60	398	6131
61	404	6123
62	411	6115
63	417	6108
64	424	6099
65	430	6093
66	436	6079
67	443	6073
68	449	6065
69	455	6055
70	462	6050
71	468	6044
72	475	6035
73	482	6032
74	488	6026
75	494	6017
76	501	6006
77	507	6000
78	514	5995
79	520	5988
80	527	5988
81	534	5980
82	540	5973
83	547	5966
84	553	5962
85	560	5955
86	566	5949
87	573	5941
88	579	5931
89	585	5924
90	592	5913
91	597	5899
92	603	5886
93	610	5880
94	616	5868
95	622	5862
96	628	5853
97	634	5843
98	641	5834
99	647	5827
100	654	5822
101	660	5812
102	666	5800
103	671	5789
104	677	5773
105	683	5763
106	690	5759
107	695	5748
108	702	5742
109	708	5732
110	714	5726
111	722	5724
112	728	5718
113	733	5703
114	739	5692
115	745	5684
116	751	5673
117	757	5663
118	763	5653
119	770	5649
120	776	5643
121	782	5632
122	788	5624
123	795	5616
124	800	5602
125	806	5593
126	812	5587
127	819	5579
128	824	5569
129	831	5561
130	837	5553
131	848	5580
132	855	5574
133	861	5568
134	868	5562
135	874	5555
136	880	5544
137	886	5538
138	892	5530
139	898	5517
140	904	5508
141	909	5497
142	916	5491
143	922	5485
144	929	5478
145	934	5468
146	940	5460
147	946	5448
148	951	5433
149	956	5422
150	962	5413
151	968	5405
152	974	5396
153	981	5389
154	987	5382
155	993	5374
156	999	5368
157	1005	5360
158	1012	5353
159	1016	5337
160	1022	5330
161	1029	5322
162	1035	5314
163	1040	5306
164	1046	5297
165	1053	5290
166	1059	5282
167	1064	5273
168	1071	5267
169	1078	5263
170	1084	5255
171	1090	5249
172	1096	5239
173	1102	5234
174	1108	5225
175	1113	5215
176	1120	5207
177	1125	5199
178	1132	5192
179	1137	5181
180	1143	5174
181	1149	5168
182	1156	5161
183	1161	5152
184	1168	5145
185	1173	5136
186	1179	5129
187	1185	5122
188	1191	5113
189	1197	5105
190	1204	5100
191	1210	5093
192	1214	5079
193	1220	5072
194	1226	5064
195	1232	5056
196	1238	5049
197	1244	5040
198	1250	5035
199	1256	5027
200	1261	5016
201	1268	5010
202	1274	5001
203	1279	4993
204	1285	4986
205	1291	4978
206	1298	4973
207	1304	4965
