iter	Passed	Remaining
0	9	9857
1	17	8775
2	25	8444
3	33	8224
4	41	8223
5	49	8162
6	58	8259
7	66	8280
8	75	8266
9	83	8237
10	91	8209
11	99	8174
12	107	8161
13	115	8136
14	123	8134
15	133	8187
16	141	8196
17	149	8161
18	157	8149
19	165	8131
20	173	8107
21	181	8089
22	190	8085
23	197	8041
24	203	7940
25	212	7954
26	220	7949
27	228	7932
28	236	7925
29	244	7909
30	253	7933
31	260	7894
32	269	7884
33	277	7872
34	283	7827
35	291	7812
36	299	7801
37	307	7792
38	316	7793
39	324	7786
40	332	7783
41	340	7767
42	348	7759
43	356	7750
44	361	7671
45	369	7663
46	377	7653
47	382	7579
48	390	7573
49	398	7568
50	409	7616
51	417	7619
52	426	7615
53	434	7605
54	441	7585
55	447	7539
56	455	7538
57	463	7530
58	471	7524
59	478	7495
60	486	7481
61	493	7463
62	501	7460
63	510	7461
64	518	7458
65	526	7450
66	534	7443
67	543	7443
68	551	7436
69	558	7426
70	567	7420
71	575	7417
72	583	7408
73	591	7401
74	599	7390
75	607	7382
76	614	7371
77	622	7360
78	630	7350
79	638	7340
80	646	7334
81	654	7328
82	662	7321
83	670	7312
84	678	7302
85	686	7290
86	694	7286
87	698	7243
88	707	7238
89	714	7229
90	719	7186
91	727	7175
92	732	7143
93	740	7135
94	748	7129
95	756	7127
96	764	7119
97	772	7108
98	780	7102
99	788	7095
100	796	7091
101	805	7095
102	814	7089
103	822	7086
104	830	7082
105	840	7084
106	850	7096
107	859	7098
108	867	7092
109	876	7088
110	884	7081
111	892	7077
112	901	7074
113	909	7071
114	917	7064
115	926	7058
116	934	7050
117	946	7072
118	954	7067
119	963	7062
120	971	7057
121	979	7049
122	987	7038
123	995	7029
124	1003	7024
125	1011	7016
126	1019	7008
127	1027	7002
128	1037	7002
129	1045	6996
130	1053	6989
131	1061	6982
132	1070	6975
133	1078	6970
134	1086	6962
135	1094	6956
136	1103	6949
137	1111	6941
138	1119	6934
139	1128	6932
140	1137	6929
141	1146	6925
142	1154	6916
143	1162	6908
144	1170	6901
145	1178	6892
146	1186	6884
147	1194	6877
148	1203	6875
149	1212	6869
150	1220	6863
151	1228	6854
152	1237	6850
153	1245	6844
154	1254	6837
155	1262	6831
156	1271	6828
157	1280	6822
158	1289	6822
159	1299	6819
160	1307	6815
161	1316	6809
162	1325	6804
163	1333	6799
164	1344	6804
165	1352	6797
166	1361	6791
167	1370	6785
168	1378	6779
169	1388	6776
170	1397	6773
171	1406	6772
172	1415	6767
173	1425	6766
174	1434	6760
175	1443	6756
176	1451	6749
177	1459	6740
178	1468	6733
179	1476	6725
180	1485	6721
181	1494	6716
182	1502	6709
183	1511	6702
184	1520	6697
185	1529	6691
186	1537	6684
187	1545	6676
188	1554	6669
189	1562	6662
190	1570	6653
191	1579	6645
192	1587	6636
193	1596	6633
194	1604	6623
195	1612	6615
196	1622	6612
197	1630	6604
198	1641	6607
199	1650	6600
200	1658	6591
201	1667	6587
202	1675	6580
203	1684	6573
204	1693	6565
205	1701	6559
206	1710	6551
207	1718	6544
208	1727	6537
209	1735	6529
210	1744	6522
211	1752	6514
212	1760	6506
213	1768	6497
214	1777	6489
215	1786	6482
216	1794	6475
217	1803	6467
218	1812	6462
219	1821	6456
220	1831	6455
221	1840	6451
222	1851	6451
223	1860	6444
224	1869	6440
225	1878	6431
226	1887	6425
227	1895	6419
228	1905	6414
229	1914	6408
230	1923	6403
231	1933	6400
232	1942	6392
233	1951	6388
234	1960	6380
235	1968	6373
236	1977	6365
237	1986	6360
238	1997	6359
239	2005	6351
240	2015	6348
241	2024	6340
242	2033	6333
243	2041	6325
244	2050	6319
245	2059	6311
246	2067	6303
247	2075	6294
248	2084	6285
249	2092	6276
250	2100	6267
251	2108	6258
252	2116	6250
253	2124	6240
254	2133	6233
255	2142	6225
256	2150	6217
257	2160	6212
258	2168	6204
259	2178	6199
260	2186	6190
261	2195	6185
262	2204	6177
263	2213	6171
264	2221	6162
265	2230	6156
266	2239	6148
267	2248	6142
268	2258	6136
269	2266	6129
270	2275	6122
271	2284	6115
272	2294	6109
273	2302	6100
274	2311	6092
275	2318	6082
276	2328	6076
277	2337	6069
278	2347	6067
279	2356	6060
280	2365	6052
281	2374	6044
282	2382	6036
283	2391	6028
284	2399	6019
285	2407	6011
286	2416	6002
287	2425	5997
288	2434	5989
289	2442	5980
